Station Name,Grid Coordinates,Coordinates
BOX,"[64, 40]","[[[-71.4419975, 41.6230564], [-71.4419975, 41.601545300000005], [-71.413227, 41.601545300000005], [-71.413227, 41.6230564], [-71.4419975, 41.6230564]]]"
BOX,"[65, 40]","[[[-71.413227, 41.619276], [-71.413227, 41.5977649], [-71.38445660000001, 41.5977649], [-71.38445660000001, 41.619276], [-71.413227, 41.619276]]]"
BOX,"[66, 41]","[[[-71.3793983, 41.6369895], [-71.3793983, 41.6154899], [-71.35062780000001, 41.6154899], [-71.35062780000001, 41.6369895], [-71.3793983, 41.6369895]]]"
BOX,"[69, 41]","[[[-71.2930984, 41.625616], [-71.2930984, 41.6041049], [-71.26433560000001, 41.6041049], [-71.26433560000001, 41.625616], [-71.2930984, 41.625616]]]"
BOX,"[70, 41]","[[[-71.2617911, 41.6237083], [-71.2668779, 41.602208], [-71.2381192, 41.598402], [-71.2330265, 41.619902], [-71.2617911, 41.6237083]]]"
BOX,"[71, 42]","[[[-71.2304725, 41.6394996], [-71.2304725, 41.618], [-71.2017021, 41.618], [-71.2017021, 41.6394996], [-71.2304725, 41.6394996]]]"
BOX,"[72, 42]","[[[-71.2017097, 41.6356887], [-71.2017097, 41.614189100000004], [-71.17295449999999, 41.614189100000004], [-71.17295449999999, 41.6356887], [-71.2017097, 41.6356887]]]"
BOX,"[79, 43]","[[[-70.9952812, 41.6303596], [-70.9952812, 41.60886], [-70.96652599999999, 41.60886], [-70.96652599999999, 41.6303596], [-70.9952812, 41.6303596]]]"
BOX,"[80, 43]","[[[-70.966526, 41.6265106], [-70.966526, 41.6050109], [-70.9377708, 41.6050109], [-70.9377708, 41.6265106], [-70.966526, 41.6265106]]]"
BOX,"[81, 43]","[[[-70.9377746, 41.6226463], [-70.9377746, 41.6011543], [-70.909027, 41.6011543], [-70.909027, 41.6226463], [-70.9377746, 41.6226463]]]"
BOX,"[84, 44]","[[[-70.846363, 41.6325435], [-70.846363, 41.6110553], [-70.81762309999999, 41.6110553], [-70.81762309999999, 41.6325435], [-70.846363, 41.6325435]]]"
BOX,"[86, 44]","[[[-70.7888679, 41.6247978], [-70.7888679, 41.6033058], [-70.760128, 41.6033058], [-70.760128, 41.6247978], [-70.7888679, 41.6247978]]]"
BOX,"[89, 45]","[[[-70.6974372, 41.6346168], [-70.6974372, 41.6131248], [-70.66869729999999, 41.6131248], [-70.66869729999999, 41.6346168], [-70.6974372, 41.6346168]]]"
BOX,"[90, 45]","[[[-70.6686935, 41.6307125], [-70.6686935, 41.6092243], [-70.6399459, 41.6092243], [-70.6399459, 41.6307125], [-70.6686935, 41.6307125]]]"
