Station Name,Grid Coordinates,Coordinates
GYX,"[37, 11]","[[[-71.6344151, 42.8209918], [-71.6394839, 42.7996278], [-71.61037040000001, 42.7959077], [-71.6052956, 42.8172713], [-71.6344151, 42.8209918]]]"
GYX,"[40, 11]","[[[-71.5470546, 42.8098153], [-71.5521416, 42.788452299999996], [-71.5230263, 42.784717099999995], [-71.5179332, 42.80607979999999], [-71.5470546, 42.8098153]]]"
GYX,"[41, 11]","[[[-71.517936, 42.8060802], [-71.5230291, 42.7847175], [-71.4939215, 42.7809783], [-71.4888224, 42.8023407], [-71.517936, 42.8060802]]]"
GYX,"[42, 12]","[[[-71.4837212, 42.823697], [-71.488822, 42.8023396], [-71.4597092, 42.7985952], [-71.4546023, 42.819952300000004], [-71.4837212, 42.823697]]]"
GYX,"[43, 12]","[[[-71.4546051, 42.8199527], [-71.459712, 42.7985956], [-71.4306069, 42.7948473], [-71.425494, 42.8162041], [-71.4546051, 42.8199527]]]"
GYX,"[44, 12]","[[[-71.4254919, 42.8162038], [-71.4306048, 42.794847], [-71.4014978, 42.791093499999995], [-71.39637880000001, 42.81245], [-71.4254919, 42.8162038]]]"
GYX,"[45, 12]","[[[-71.3963747, 42.8124494], [-71.4014936, 42.791093], [-71.3723804, 42.7873337], [-71.36725539999999, 42.808689799999996], [-71.3963747, 42.8124494]]]"
GYX,"[46, 12]","[[[-71.3672617, 42.8086907], [-71.3723867, 42.7873345], [-71.3432882, 42.7835722], [-71.3381572, 42.804928000000004], [-71.3672617, 42.8086907]]]"
GYX,"[47, 12]","[[[-71.3381565, 42.8049279], [-71.3432875, 42.7835721], [-71.3141899, 42.7798049], [-71.3090528, 42.8011605], [-71.3381565, 42.8049279]]]"
GYX,"[48, 13]","[[[-71.3039091, 42.822522], [-71.30905, 42.8011633], [-71.2799443, 42.7973906], [-71.2747974, 42.818749], [-71.3039091, 42.822522]]]"
GYX,"[49, 13]","[[[-71.2747974, 42.818749], [-71.2799443, 42.7973906], [-71.25084079999999, 42.7936132], [-71.2456879, 42.8149713], [-71.2747974, 42.818749]]]"
GYX,"[50, 13]","[[[-71.2456865, 42.8149711], [-71.2508394, 42.793613], [-71.2217354, 42.7898306], [-71.2165764, 42.8111884], [-71.2456865, 42.8149711]]]"
GYX,"[52, 13]","[[[-71.187472, 42.8074015], [-71.192637, 42.786044], [-71.16354720000001, 42.782253499999996], [-71.15837610000001, 42.80361069999999], [-71.187472, 42.8074015]]]"
GYX,"[6, 6]","[[[-72.5626722, 42.8271293], [-72.56754269999999, 42.805737], [-72.53839059999999, 42.802163], [-72.53351399999998, 42.823555], [-72.5626722, 42.8271293]]]"
GYX,"[8, 7]","[[[-72.4994759, 42.8413523], [-72.50435879999999, 42.8199718], [-72.47519919999999, 42.8163875], [-72.47031009999999, 42.8377677], [-72.4994759, 42.8413523]]]"
GYX,"[11, 7]","[[[-72.4119948, 42.8305855], [-72.41689600000001, 42.809205899999995], [-72.3877595, 42.8056096], [-72.3828523, 42.826988899999996], [-72.4119948, 42.8305855]]]"
GYX,"[12, 7]","[[[-72.3828389, 42.8269872], [-72.3877462, 42.8056079], [-72.3585852, 42.8020037], [-72.35367179999999, 42.8233826], [-72.3828389, 42.8269872]]]"
GYX,"[14, 8]","[[[-72.3196238, 42.841157], [-72.3245459, 42.8197792], [-72.29538860000001, 42.816166], [-72.29046050000001, 42.8375435], [-72.3196238, 42.841157]]]"
GYX,"[15, 8]","[[[-72.2904668, 42.8375443], [-72.2953949, 42.8161668], [-72.2662524, 42.8125504], [-72.2613181, 42.8339276], [-72.2904668, 42.8375443]]]"
GYX,"[16, 8]","[[[-72.2613167, 42.8339274], [-72.266251, 42.8125502], [-72.2371078, 42.8089288], [-72.2321675, 42.8303057], [-72.2613167, 42.8339274]]]"
GYX,"[17, 8]","[[[-72.2321625, 42.8303051], [-72.2371029, 42.8089282], [-72.20795199999999, 42.8053009], [-72.2030056, 42.8266775], [-72.2321625, 42.8303051]]]"
GYX,"[18, 8]","[[[-72.2030154, 42.8266787], [-72.20796179999999, 42.8053021], [-72.17883259999999, 42.801672599999996], [-72.17388009999999, 42.823048899999996], [-72.2030154, 42.8266787]]]"
GYX,"[20, 9]","[[[-72.1397554, 42.8407994], [-72.1447185, 42.819416100000005], [-72.1155777, 42.8157757], [-72.1106086, 42.8371587], [-72.1397554, 42.8407994]]]"
GYX,"[21, 9]","[[[-72.11061, 42.8371589], [-72.11557909999999, 42.8157759], [-72.08644329999998, 42.8121311], [-72.08146799999999, 42.8335139], [-72.11061, 42.8371589]]]"
GYX,"[22, 9]","[[[-72.0814687, 42.8335139], [-72.086444, 42.8121312], [-72.0573117, 42.808482000000005], [-72.0523303, 42.829864400000005], [-72.0814687, 42.8335139]]]"
GYX,"[23, 9]","[[[-72.0523282, 42.8298641], [-72.05730960000001, 42.8084817], [-72.0281752, 42.8048273], [-72.0231878, 42.826209399999996], [-72.0523282, 42.8298641]]]"
GYX,"[24, 9]","[[[-72.0231864, 42.8262092], [-72.0281738, 42.804827100000004], [-71.99903880000001, 42.80116770000001], [-71.99404530000001, 42.82254950000001], [-72.0231864, 42.8262092]]]"
GYX,"[26, 10]","[[[-71.9599089, 42.8402419], [-71.96490730000001, 42.8188777], [-71.93576630000001, 42.8152081], [-71.93076180000001, 42.8365719], [-71.9599089, 42.8402419]]]"
GYX,"[27, 10]","[[[-71.9307688, 42.8365728], [-71.9357733, 42.815208999999996], [-71.9066484, 42.811536399999994], [-71.9016379, 42.832899999999995], [-71.9307688, 42.8365728]]]"
GYX,"[28, 10]","[[[-71.9016337, 42.8328994], [-71.9066442, 42.8115359], [-71.8775131, 42.807857600000006], [-71.8724965, 42.82922080000001], [-71.9016337, 42.8328994]]]"
GYX,"[30, 10]","[[[-71.8433699, 42.8255386], [-71.8483926, 42.8041757], [-71.8192602, 42.8004873], [-71.8142314, 42.82185], [-71.8433699, 42.8255386]]]"
GYX,"[33, 11]","[[[-71.7509312, 42.8358289], [-71.7559757, 42.8144636], [-71.72685489999999, 42.8107624], [-71.72180429999999, 42.8321273], [-71.7509312, 42.8358289]]]"
GYX,"[34, 11]","[[[-71.7218022, 42.832127], [-71.7268528, 42.8107621], [-71.69773, 42.8070556], [-71.6926734, 42.8284202], [-71.7218022, 42.832127]]]"
GYX,"[35, 11]","[[[-71.6926713, 42.82842], [-71.6977279, 42.8070554], [-71.6686031, 42.803343700000006], [-71.6635404, 42.82470800000001], [-71.6926713, 42.82842]]]"
GYX,"[39, 12]","[[[-71.5710882, 42.8349026], [-71.5761708, 42.8135442], [-71.5470626, 42.809815300000004], [-71.5419739, 42.831173400000004], [-71.5710882, 42.8349026]]]"
GYX,"[41, 12]","[[[-71.5128416, 42.8274369], [-71.5179363, 42.806079100000005], [-71.4888227, 42.8023396], [-71.4837219, 42.823697100000004], [-71.5128416, 42.8274369]]]"
GYX,"[43, 13]","[[[-71.4494939, 42.8413161], [-71.4546044, 42.8199558], [-71.4254933, 42.8162071], [-71.4203767, 42.8375672], [-71.4494939, 42.8413161]]]"
GYX,"[44, 13]","[[[-71.4203746, 42.8375669], [-71.4254912, 42.8162069], [-71.39637809999999, 42.8124531], [-71.39125549999999, 42.8338128], [-71.4203746, 42.8375669]]]"
GYX,"[45, 13]","[[[-71.3912513, 42.8338122], [-71.3963739, 42.8124525], [-71.3672546, 42.8086929], [-71.3621259, 42.8300523], [-71.3912513, 42.8338122]]]"
GYX,"[47, 13]","[[[-71.333021, 42.8262901], [-71.3381557, 42.804931], [-71.3090521, 42.8011635], [-71.3039112, 42.8225223], [-71.333021, 42.8262901]]]"
GYX,"[50, 14]","[[[-71.2405328, 42.8363202], [-71.245687, 42.814969100000006], [-71.2165769, 42.811186400000004], [-71.2114167, 42.8325371], [-71.2405328, 42.8363202]]]"
GYX,"[52, 14]","[[[-71.1823062, 42.8287499], [-71.1874725, 42.8073994], [-71.1583766, 42.803608600000004], [-71.1532043, 42.824958800000005], [-71.1823062, 42.8287499]]]"
GYX,"[54, 15]","[[[-71.1189227, 42.8425033], [-71.1241023, 42.8211606], [-71.09500200000001, 42.8173598], [-71.0898164, 42.8387022], [-71.1189227, 42.8425033]]]"
GYX,"[55, 15]","[[[-71.0898115, 42.8387016], [-71.0949971, 42.8173591], [-71.0658893, 42.8135524], [-71.0606976, 42.8348945], [-71.0898115, 42.8387016]]]"
GYX,"[56, 15]","[[[-71.0606997, 42.8348948], [-71.0658914, 42.8135526], [-71.0367899, 42.809741800000005], [-71.0315922, 42.83108360000001], [-71.0606997, 42.8348948]]]"
GYX,"[63, 16]","[[[-70.8517756, 42.8294575], [-70.8570118, 42.808120499999994], [-70.82791859999999, 42.80427639999999], [-70.82267639999999, 42.82561309999999], [-70.8517756, 42.8294575]]]"
GYX,"[64, 16]","[[[-70.8226806, 42.8256136], [-70.8279228, 42.804277], [-70.7988403, 42.8004294], [-70.79359199999999, 42.8217657], [-70.8226806, 42.8256136]]]"
GYX,"[65, 17]","[[[-70.7883363, 42.8431142], [-70.7935893, 42.8217706], [-70.7645002, 42.8179176], [-70.7592411, 42.8392609], [-70.7883363, 42.8431142]]]"
GYX,"[67, 17]","[[[-70.7301426, 42.8354021], [-70.7354077, 42.8140592], [-70.7063007, 42.8101939], [-70.7010295, 42.8315365], [-70.7301426, 42.8354021]]]"
GYX,"[69, 17]","[[[-70.6719621, 42.8276719], [-70.6772393, 42.8063296], [-70.648162, 42.8024583], [-70.6428788, 42.823800299999995], [-70.6719621, 42.8276719]]]"
GYX,"[71, 18]","[[[-70.6084994, 42.8412491], [-70.6137889, 42.8199186], [-70.5847129, 42.816038], [-70.5794173, 42.8373682], [-70.6084994, 42.8412491]]]"
GYX,"[8, 8]","[[[-72.4945901, 42.862733], [-72.4994756, 42.841353399999996], [-72.4703099, 42.8377687], [-72.46541830000001, 42.859148], [-72.4945901, 42.862733]]]"
GYX,"[9, 8]","[[[-72.4654211, 42.8591484], [-72.4703127, 42.837769], [-72.4411547, 42.8341804], [-72.436257, 42.855559400000004], [-72.4654211, 42.8591484]]]"
GYX,"[10, 8]","[[[-72.4362521, 42.8555588], [-72.4411498, 42.834179799999994], [-72.41198410000001, 42.830585199999994], [-72.40708030000002, 42.851963899999994], [-72.4362521, 42.8555588]]]"
GYX,"[11, 8]","[[[-72.4070908, 42.8519652], [-72.4119946, 42.8305865], [-72.382852, 42.8269899], [-72.3779421, 42.848368300000004], [-72.4070908, 42.8519652]]]"
GYX,"[12, 8]","[[[-72.3779288, 42.8483667], [-72.38283870000001, 42.8269883], [-72.35367160000001, 42.823383699999994], [-72.34875560000002, 42.84476179999999], [-72.3779288, 42.8483667]]]"
GYX,"[13, 8]","[[[-72.3487739, 42.844764], [-72.3536898, 42.8233859], [-72.3245613, 42.8197811], [-72.3196392, 42.8411589], [-72.3487739, 42.844764]]]"
GYX,"[15, 9]","[[[-72.2855329, 42.8589342], [-72.2904656, 42.8375494], [-72.261317, 42.8339327], [-72.2563782, 42.855317299999996], [-72.2855329, 42.8589342]]]"
GYX,"[17, 9]","[[[-72.2272165, 42.8516945], [-72.2321614, 42.8303102], [-72.2030044, 42.8266826], [-72.1980535, 42.848066599999996], [-72.2272165, 42.8516945]]]"
GYX,"[18, 9]","[[[-72.1980633, 42.8480678], [-72.2030142, 42.826683900000006], [-72.1738789, 42.823054000000006], [-72.1689219, 42.844437600000006], [-72.1980633, 42.8480678]]]"
GYX,"[20, 10]","[[[-72.1347952, 42.8621582], [-72.1397571, 42.8407922], [-72.1106102, 42.837151500000004], [-72.1056423, 42.8585172], [-72.1347952, 42.8621582]]]"
GYX,"[21, 10]","[[[-72.1056437, 42.8585174], [-72.1106116, 42.8371517], [-72.0814697, 42.8335067], [-72.0764957, 42.8548721], [-72.1056437, 42.8585174]]]"
GYX,"[22, 10]","[[[-72.0764964, 42.8548721], [-72.0814704, 42.8335067], [-72.052332, 42.8298572], [-72.04735190000001, 42.851222299999996], [-72.0764964, 42.8548721]]]"
