Station Name,Grid Coordinates,Coordinates
CAR,"[105, 30]","[[[-68.0019836, 43.9958655], [-68.00790020000001, 43.9747689], [-67.97858690000001, 43.97051], [-67.97266420000001, 43.9916063], [-68.0019836, 43.9958655]]]"
CAR,"[106, 30]","[[[-67.9726628, 43.9916061], [-67.9785855, 43.970509799999995], [-67.9492719, 43.966245799999996], [-67.94334309999999, 43.987341799999996], [-67.9726628, 43.9916061]]]"
CAR,"[109, 31]","[[[-67.8787561, 43.9999022], [-67.88470190000001, 43.9788019], [-67.8553899, 43.9745236], [-67.849438, 43.9956235], [-67.8787561, 43.9999022]]]"
CAR,"[110, 31]","[[[-67.8494352, 43.9956231], [-67.8553871, 43.9745232], [-67.8260721, 43.9702393], [-67.8201141, 43.9913389], [-67.8494352, 43.9956231]]]"
CAR,"[111, 31]","[[[-67.8201155, 43.9913391], [-67.8260735, 43.9702395], [-67.7967639, 43.9659514], [-67.7907998, 43.987050700000005], [-67.8201155, 43.9913391]]]"
CAR,"[112, 31]","[[[-67.7908012, 43.9870509], [-67.7967653, 43.9659516], [-67.767461, 43.9616592], [-67.7614909, 43.9827582], [-67.7908012, 43.9870509]]]"
CAR,"[113, 32]","[[[-67.7555211, 44.0038386], [-67.7614909, 43.9827529], [-67.7321804, 43.9784551], [-67.72620450000001, 43.9995404], [-67.7555211, 44.0038386]]]"
CAR,"[114, 32]","[[[-67.7262073, 43.9995408], [-67.7321832, 43.978455499999995], [-67.7028809, 43.974153799999996], [-67.6968989, 43.995238799999996], [-67.7262073, 43.9995408]]]"
CAR,"[115, 32]","[[[-67.6968975, 43.9952386], [-67.70287950000001, 43.9741536], [-67.67357690000001, 43.9698468], [-67.66758890000001, 43.9909315], [-67.6968975, 43.9952386]]]"
CAR,"[116, 32]","[[[-67.6675832, 43.9909307], [-67.67357129999999, 43.969846], [-67.64425999999999, 43.9655329], [-67.6382659, 43.9866173], [-67.6675832, 43.9909307]]]"
CAR,"[117, 32]","[[[-67.6382772, 43.9866189], [-67.6442713, 43.965534600000005], [-67.6149852, 43.961220100000006], [-67.608985, 43.98230410000001], [-67.6382772, 43.9866189]]]"
CAR,"[118, 33]","[[[-67.6029706, 44.0033897], [-67.60897460000001, 43.9823047], [-67.57966530000002, 43.9779823], [-67.57365530000001, 43.9990669], [-67.6029706, 44.0033897]]]"
CAR,"[121, 33]","[[[-67.5150478, 43.9904097], [-67.5210699, 43.9693258], [-67.4917769, 43.9649906], [-67.4857487, 43.9860742], [-67.5150478, 43.9904097]]]"
CAR,"[122, 33]","[[[-67.4857473, 43.986074], [-67.4917755, 43.964990400000005], [-67.4624822, 43.9606501], [-67.4564479, 43.9817334], [-67.4857473, 43.986074]]]"
