Station,coordinate_x,coordinate_y,cor_1_x,cor_1_y,cor_2_x,cor_2_y,cor_3_x,cor_3_y,cor_4_x,cor_4_y,cor_5_x,cor_5_y
BTV,103,7,-73.0033432,43.402431,-73.0081445,43.3811141,-72.9787996,43.3776213,-72.9739922,43.3989379,-73.0033432,43.402431
BTV,106,7,-72.915314,43.3919398,-72.9201337,43.3706237,-72.89081909999999,43.3671197,-72.88599319999999,43.388435400000006,-72.915314,43.3919398
BTV,109,8,-72.8224639,43.4027343,-72.8273066,43.381411899999996,-72.7979737,43.377891299999995,-72.7931248,43.399213399999994,-72.8224639,43.4027343
BTV,110,8,-72.7931305,43.3992141,-72.79797930000001,43.377892,-72.76865980000001,43.374368100000005,-72.7638048,43.39568990000001,-72.7931305,43.3992141
BTV,114,8,-72.6757953,43.3850838,-72.6806688,43.363762799999996,-72.6513493,43.360219099999995,-72.6464696,43.38153979999999,-72.6757953,43.3850838
BTV,117,9,-72.5829239,43.3957541,-72.58781809999999,43.374437,-72.5585002,43.3708791,-72.5535998,43.392195900000004,-72.5829239,43.3957541
BTV,118,9,-72.5535956,43.3921954,-72.5584959,43.3708786,-72.5291716,43.367315,-72.5242651,43.3886316,-72.5535956,43.3921954
BTV,120,9,-72.4949466,43.3850642,-72.49985930000001,43.3637479,-72.47054770000001,43.360176,-72.46562890000001,43.381492,-72.4949466,43.3850642
BTV,121,10,-72.4607072,43.4027922,-72.4656263,43.3814874,-72.4363036,43.377909599999995,-72.4313784,43.399214099999995,-72.4607072,43.4027922
BTV,122,10,-72.4313798,43.3992143,-72.436305,43.3779098,-72.40698730000001,43.374327699999995,-72.40205590000001,43.3956319,-72.4313798,43.3992143
BTV,97,7,-73.1794564,43.4232867,-73.18422050000001,43.4019681,-73.15487730000001,43.398505099999994,-73.150107,43.41982339999999,-73.1794564,43.4232867
BTV,112,9,-72.7295904,43.4134763,-72.7344537,43.3921577,-72.705128,43.388623599999995,-72.7002585,43.40994189999999,-72.7295904,43.4134763
BTV,116,10,-72.607365,43.4206099,-72.6122532,43.399303700000004,-72.58292279999999,43.395749800000004,-72.57802829999999,43.417055700000006,-72.607365,43.4206099
BTV,117,10,-72.5780304,43.4170559,-72.58292490000001,43.39575,-72.5536007,43.3921919,-72.5487002,43.4134975,-72.5780304,43.4170559
BTV,119,10,-72.5193621,43.4099331,-72.5242689,43.3886278,-72.4949462,43.3850599,-72.4900332,43.406365,-72.5193621,43.4099331
BTV,122,11,-72.4264517,43.4205188,-72.4313795,43.3992153,-72.40205560000001,43.3956329,-72.3971216,43.4169361,-72.4264517,43.4205188
BTV,95,7,-73.2381726,43.4302005,-73.24292439999999,43.4088813,-73.2135658,43.405426399999996,-73.2088078,43.4267452,-73.2381726,43.4302005
BTV,99,8,-73.1159565,43.4376833,-73.1207374,43.416358100000004,-73.0913865,43.4128848,-73.0865994,43.434209700000004,-73.1159565,43.4376833
BTV,100,8,-73.0865952,43.4342092,-73.0913823,43.412884299999995,-73.062025,43.409405199999995,-73.0572317,43.430729899999996,-73.0865952,43.4342092
BTV,101,8,-73.0572381,43.4307307,-73.06203140000001,43.409406,-73.0326888,43.4059238,-73.0278894,43.427248199999994,-73.0572381,43.4307307
BTV,104,9,-72.9643696,43.4415882,-72.96918339999999,43.4202674,-72.9398368,43.4167703,-72.93501669999999,43.438090900000006,-72.9643696,43.4415882
BTV,105,9,-72.935011,43.4380902,-72.9398311,43.416769599999995,-72.91047520000001,43.41326649999999,-72.90564900000001,43.43458679999999,-72.935011,43.4380902
BTV,106,9,-72.9056624,43.4345884,-72.9104886,43.4132681,-72.8811616,43.409763500000004,-72.8763292,43.43108350000001,-72.9056624,43.4345884
BTV,108,9,-72.8469699,43.4275706,-72.8518085,43.4062509,-72.8224603,43.4027339,-72.8176155,43.424053300000004,-72.8469699,43.4275706
BTV,110,10,-72.7834292,43.441837,-72.7882804,43.4205291,-72.75894860000001,43.4170047,-72.7540912,43.4383123,-72.7834292,43.441837
BTV,112,10,-72.7247277,43.4347795,-72.7295913,43.4134722,-72.7002595,43.4099378,-72.6953897,43.4312449,-72.7247277,43.4347795
BTV,113,10,-72.6953862,43.4312444,-72.7002559,43.4099374,-72.6709191,43.4063975,-72.6660432,43.427704199999994,-72.6953862,43.4312444
BTV,115,10,-72.6367044,43.4241596,-72.6415865,43.4028531,-72.6122525,43.399303700000004,-72.6073643,43.4206098,-72.6367044,43.4241596
BTV,116,11,-72.6024739,43.4419162,-72.6073647,43.420611,-72.57802810000001,43.4170567,-72.57313110000001,43.4383616,-72.6024739,43.4419162
BTV,119,11,-72.5144525,43.4312385,-72.5193619,43.4099341,-72.49003300000001,43.406366,-72.48511750000002,43.42767,-72.5144525,43.4312385
BTV,120,11,-72.4851189,43.4276702,-72.4900344,43.4063661,-72.4607105,43.4027936,-72.45578880000001,43.4240974,-72.4851189,43.4276702
BTV,94,8,-73.2627842,43.4549822,-73.26753409999999,43.4336556,-73.23817569999999,43.4302061,-73.23341959999999,43.4515324,-73.2627842,43.4549822
BTV,95,8,-73.2334154,43.4515319,-73.23817149999999,43.4302056,-73.2088067,43.4267504,-73.2040444,43.448076500000006,-73.2334154,43.4515319
BTV,98,9,-73.1405453,43.4624755,-73.145322,43.441153,-73.11595019999999,43.4376826,-73.11116719999998,43.4590048,-73.1405453,43.4624755
BTV,99,9,-73.1111736,43.4590055,-73.1159565,43.4376833,-73.0865994,43.434209700000004,-73.0818103,43.4555317,-73.1111736,43.4590055
BTV,102,9,-73.0230879,43.4485696,-73.02788939999999,43.4272482,-72.9985428,43.423761,-72.9937351,43.4450821,-73.0230879,43.4485696
BTV,104,10,-72.9595564,43.4628937,-72.9643705,43.4415841,-72.9350176,43.4380868,-72.93019729999999,43.4593961,-72.9595564,43.4628937
BTV,105,10,-72.9301917,43.4593954,-72.935012,43.4380861,-72.9056499,43.4345827,-72.90082340000001,43.4558917,-72.9301917,43.4593954
BTV,106,10,-72.9008368,43.4558933,-72.90566329999999,43.4345843,-72.87633009999999,43.431079399999994,-72.87149749999999,43.452388199999994,-72.9008368,43.4558933
BTV,108,10,-72.842132,43.448875,-72.84697080000001,43.4275665,-72.81761650000001,43.4240492,-72.81277140000002,43.4453574,-72.842132,43.448875
BTV,110,11,-72.7785752,43.463145,-72.78342900000001,43.4418381,-72.75409090000001,43.4383133,-72.74923100000001,43.459619999999994,-72.7785752,43.463145
BTV,111,11,-72.7492183,43.4596184,-72.7540782,43.438311799999994,-72.72471689999999,43.434779299999995,-72.71985079999999,43.456085599999994,-72.7492183,43.4596184
BTV,113,11,-72.6905136,43.4525515,-72.6953859,43.431245499999996,-72.666043,43.42770529999999,-72.6611645,43.44901109999999,-72.6905136,43.4525515
